date,am,pm,target,predict
2020-04-17,21,2,workday,weekend
2020-04-18,1,68,weekend,workday
2020-04-19,18,15,weekend,workday
2020-04-20,2,23,workday,workday
2020-04-21,0,25,workday,workday
2020-04-22,0,28,workday,workday
2020-04-23,10,33,workday,workday
2020-04-24,2,14,workday,workday
2020-04-25,30,74,weekend,workday
2020-04-26,28,233,weekend,workday
2020-04-27,4,2,workday,workday
2020-04-28,4,1,workday,workday
2020-04-29,0,17,workday,workday
2020-04-30,13,40,workday,workday
2020-05-01,8,52,workday,workday
2020-05-02,91,151,weekend,workday
2020-05-03,47,133,weekend,workday
2020-05-04,11,26,workday,workday
2020-05-05,81,58,workday,workday
2020-05-06,2,0,workday,weekend
2020-05-07,14,38,workday,workday
2020-05-08,3,84,workday,workday
2020-05-09,0,86,weekend,workday
2020-05-10,10,133,weekend,workday
2020-05-11,3,183,workday,workday
2020-05-12,56,267,workday,workday
2020-05-13,6,205,workday,workday
2020-05-14,66,509,workday,workday
2020-05-15,10,0,workday,weekend
2020-05-16,0,4,weekend,workday
2020-05-17,2,46,weekend,workday
2020-05-18,0,3,workday,workday
2020-05-19,20,14,workday,workday
2020-05-20,7,21,workday,workday
2020-05-21,1,48,workday,workday
